               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11566,            0.038712,            0.060776,           0.0032592,            0.087226,           0.0016564,          0.00036217,             0.11335,             0.03367,            0.059666,              0.0004,              0.0004,              0.0964
                   1,             0.10643,            0.040784,            0.058901,           0.0053891,             0.10656,           0.0043301,          0.00092442,             0.10261,            0.034401,            0.057056,          0.00080996,          0.00080996,             0.09271
                   2,            0.097083,            0.042701,            0.055863,            0.016475,            0.086805,            0.011566,             0.00334,            0.091575,            0.038946,            0.053023,           0.0012198,           0.0012198,             0.08902
                   3,             0.08895,            0.046685,            0.052123,            0.065609,            0.094125,            0.046227,            0.015506,            0.084901,            0.040295,            0.047955,           0.0016293,           0.0016293,            0.085329
                   4,            0.081772,            0.048762,            0.048914,             0.11385,             0.14208,             0.10361,            0.044101,            0.080093,            0.040153,            0.044548,           0.0020384,           0.0020384,            0.081638
                   5,               0.076,            0.048696,            0.045144,              0.5324,             0.12108,             0.11387,            0.048264,            0.073519,            0.041088,            0.039793,            0.002447,            0.002447,            0.077947
                   6,            0.071639,            0.048462,            0.040921,             0.20445,              0.3782,              0.1947,            0.064268,             0.06821,            0.041016,            0.035071,           0.0028549,           0.0028549,            0.074255
                   7,            0.068249,            0.046278,             0.03829,             0.26038,             0.23637,             0.16707,             0.06427,              0.0643,            0.040796,            0.032314,           0.0032621,           0.0032621,            0.070562
                   8,            0.066437,            0.045542,            0.037261,             0.27075,             0.22073,             0.14449,             0.04321,            0.064696,            0.038631,            0.032555,           0.0036684,           0.0036684,            0.066868
                   9,            0.064923,            0.044149,            0.036671,               0.299,             0.24844,             0.16511,            0.059607,            0.061095,            0.037904,            0.030677,           0.0040737,           0.0040737,            0.063174
                  10,            0.065119,            0.043958,            0.033972,             0.18122,              0.3181,             0.19691,            0.068015,            0.062165,            0.036737,            0.027548,           0.0044778,           0.0044778,            0.059478
